Term,Error
progradational wedge,'tuple' object has no attribute 'metadata'
proximal alluvial fan,'tuple' object has no attribute 'metadata'
pseudomatrix,'tuple' object has no attribute 'metadata'
pseudomatrix generation,'tuple' object has no attribute 'metadata'
pyrite,'tuple' object has no attribute 'metadata'
quantitative petrography description,'tuple' object has no attribute 'metadata'
quartz,'tuple' object has no attribute 'metadata'
radial extinction,'tuple' object has no attribute 'metadata'
radial structure,'tuple' object has no attribute 'metadata'
rapid hydrodynamic condition change,'tuple' object has no attribute 'metadata'
recent environment,'tuple' object has no attribute 'metadata'
recent lacustrine system,'tuple' object has no attribute 'metadata'
recrystallized,'tuple' object has no attribute 'metadata'
recurrent reworking,'tuple' object has no attribute 'metadata'
recurrent tectonic pulse,'tuple' object has no attribute 'metadata'
recurrent variation,'tuple' object has no attribute 'metadata'
redeposition,'tuple' object has no attribute 'metadata'
redeposition by gravity flow,'tuple' object has no attribute 'metadata'
redepositional mixing,'tuple' object has no attribute 'metadata'
reflector thickening,'tuple' object has no attribute 'metadata'
reflector truncation,'tuple' object has no attribute 'metadata'
regional seal,'tuple' object has no attribute 'metadata'
regional uplift,'tuple' object has no attribute 'metadata'
relationship with porosity,'tuple' object has no attribute 'metadata'
relict structure preservation,'tuple' object has no attribute 'metadata'
replacive dolomite,'tuple' object has no attribute 'metadata'
replacive microcrystalline calcite,'tuple' object has no attribute 'metadata'
replacive microcrystalline dolomite,'tuple' object has no attribute 'metadata'
replacive microcrystalline quartz,'tuple' object has no attribute 'metadata'
replacive pyrite,'tuple' object has no attribute 'metadata'
replacive silica,'tuple' object has no attribute 'metadata'
reservoir,'tuple' object has no attribute 'metadata'
reservoir geometry,'tuple' object has no attribute 'metadata'
reservoir property,'tuple' object has no attribute 'metadata'
reservoir quality,'tuple' object has no attribute 'metadata'
restricted fauna,'tuple' object has no attribute 'metadata'
restricted lagoon,'tuple' object has no attribute 'metadata'
restricted marine gulf,'tuple' object has no attribute 'metadata'
restricted spatial distribution,'tuple' object has no attribute 'metadata'
reworked deposit,'tuple' object has no attribute 'metadata'
reworked pre-salt deposit,'tuple' object has no attribute 'metadata'
reworking,'tuple' object has no attribute 'metadata'
reworking feature,'tuple' object has no attribute 'metadata'
rift half-graben,'tuple' object has no attribute 'metadata'
rift half-graben low,'tuple' object has no attribute 'metadata'
rift interval,'tuple' object has no attribute 'metadata'
rifting,'tuple' object has no attribute 'metadata'
rift phase,'tuple' object has no attribute 'metadata'
rift phase tectonic context,'tuple' object has no attribute 'metadata'
rift section,'tuple' object has no attribute 'metadata'
rift section ooid,'tuple' object has no attribute 'metadata'
rift sequence,'tuple' object has no attribute 'metadata'
rift stage,'tuple' object has no attribute 'metadata'
rock fabric,'tuple' object has no attribute 'metadata'
rock structure,'tuple' object has no attribute 'metadata'
rounded shape,'tuple' object has no attribute 'metadata'
rudstone,'tuple' object has no attribute 'metadata'
sag carbonate structure mound aspect,'tuple' object has no attribute 'metadata'
sag section,'tuple' object has no attribute 'metadata'
sag sequence,'tuple' object has no attribute 'metadata'
sag spherulstone,'tuple' object has no attribute 'metadata'
saline lake,'tuple' object has no attribute 'metadata'
salinity variation,'tuple' object has no attribute 'metadata'
same facies occurrence,'tuple' object has no attribute 'metadata'
sandstone,'tuple' object has no attribute 'metadata'
saddle habit,'tuple' object has no attribute 'metadata'
scarce siliciclastic grain,'tuple' object has no attribute 'metadata'
secondary,'tuple' object has no attribute 'metadata'
secondary interparticle dissolution,'tuple' object has no attribute 'metadata'
secondary intraparticle porosity,'tuple' object has no attribute 'metadata'
secondary pore,'tuple' object has no attribute 'metadata'
secondary porosity,'tuple' object has no attribute 'metadata'
sediment transport,'tuple' object has no attribute 'metadata'
sediment-water interface,'tuple' object has no attribute 'metadata'
sedimentary difference,'tuple' object has no attribute 'metadata'
sedimentary structure,'tuple' object has no attribute 'metadata'
seismic aspect,'tuple' object has no attribute 'metadata'
seismic characterization,'tuple' object has no attribute 'metadata'
seismic facies,'tuple' object has no attribute 'metadata'
seismic facies differentiation,'tuple' object has no attribute 'metadata'
seismic pattern,'tuple' object has no attribute 'metadata'
seismic reflector lateral continuity,'tuple' object has no attribute 'metadata'
sepiolite alteration,'tuple' object has no attribute 'metadata'
shale,'tuple' object has no attribute 'metadata'
shallow lake,'tuple' object has no attribute 'metadata'
shallow lacustrine deposit remobilization,'tuple' object has no attribute 'metadata'
shallow lacustrine environment,'tuple' object has no attribute 'metadata'
shallow water carbonate sediment,'tuple' object has no attribute 'metadata'
shallow water reworked deposit,'tuple' object has no attribute 'metadata'
sharp-based package,'tuple' object has no attribute 'metadata'
shore-parallel current,'tuple' object has no attribute 'metadata'
shore-parallel paleocurrent,'tuple' object has no attribute 'metadata'
shrub,'tuple' object has no attribute 'metadata'
shrub dissolution,'tuple' object has no attribute 'metadata'
shrub erosion,'tuple' object has no attribute 'metadata'
shrub morphology,'tuple' object has no attribute 'metadata'
shrubstone,'tuple' object has no attribute 'metadata'
shrinkage pore,'tuple' object has no attribute 'metadata'
silt size,'tuple' object has no attribute 'metadata'
siltite,'tuple' object has no attribute 'metadata'
silica,'tuple' object has no attribute 'metadata'
silica association,'tuple' object has no attribute 'metadata'
siliciclastic grain,'tuple' object has no attribute 'metadata'
silicified rock,'tuple' object has no attribute 'metadata'
silicification,'tuple' object has no attribute 'metadata'
single cortical coating,'tuple' object has no attribute 'metadata'
single cortical envelope,'tuple' object has no attribute 'metadata'
single lacustrine system,'tuple' object has no attribute 'metadata'
slope destabilization,'tuple' object has no attribute 'metadata'
slope redeposition,'tuple' object has no attribute 'metadata'
small isolated lake system,'tuple' object has no attribute 'metadata'
small spherulite,'tuple' object has no attribute 'metadata'
soluble salt,'tuple' object has no attribute 'metadata'
source rock,'tuple' object has no attribute 'metadata'
south atlantic margin,'tuple' object has no attribute 'metadata'
south atlantic rift basin,'tuple' object has no attribute 'metadata'
spherical microorganism,'tuple' object has no attribute 'metadata'
spherical microorganism dissolution,'tuple' object has no attribute 'metadata'
spherulite,'tuple' object has no attribute 'metadata'
spherulite coalescence,'tuple' object has no attribute 'metadata'
spherulite dissolution,'tuple' object has no attribute 'metadata'
spherulite erosion,'tuple' object has no attribute 'metadata'
spherulitic aggregate covering,'tuple' object has no attribute 'metadata'
spherulitic calcite precipitation,'tuple' object has no attribute 'metadata'
spherulitic intraclast,'tuple' object has no attribute 'metadata'
spherulitic rock,'tuple' object has no attribute 'metadata'
spherulstone,'tuple' object has no attribute 'metadata'
spring conduit,'tuple' object has no attribute 'metadata'
stable carbon isotope,'tuple' object has no attribute 'metadata'
stable isotope composition,'tuple' object has no attribute 'metadata'
stable oxygen isotope,'tuple' object has no attribute 'metadata'
staining technique,'tuple' object has no attribute 'metadata'
stevensite,'tuple' object has no attribute 'metadata'
stevensite intraclast,'tuple' object has no attribute 'metadata'
stevensite ooid,'tuple' object has no attribute 'metadata'
stevensite peloid,'tuple' object has no attribute 'metadata'
stevensite preservation,'tuple' object has no attribute 'metadata'
stevensite precipitation,'tuple' object has no attribute 'metadata'
stevensite subaerial exposure,'tuple' object has no attribute 'metadata'
stevensitic grain,'tuple' object has no attribute 'metadata'
storm,'tuple' object has no attribute 'metadata'
storm reworking,'tuple' object has no attribute 'metadata'
stratified lake,'tuple' object has no attribute 'metadata'
stratified lacustrine system,'tuple' object has no attribute 'metadata'
stratified system oscillation,'tuple' object has no attribute 'metadata'
stratigraphic framework,'tuple' object has no attribute 'metadata'
stratigraphic unit lateral continuity,'tuple' object has no attribute 'metadata'
strontium isotope,'tuple' object has no attribute 'metadata'
strong evaporative condition,'tuple' object has no attribute 'metadata'
strong lateral grain size variation,'tuple' object has no attribute 'metadata'
structural difference,'tuple' object has no attribute 'metadata'
structural high,'tuple' object has no attribute 'metadata'
structural high development,'tuple' object has no attribute 'metadata'
structural high occurrence,'tuple' object has no attribute 'metadata'
structural low,'tuple' object has no attribute 'metadata'
stylolite concentration,'tuple' object has no attribute 'metadata'
subaerial disaggregation,'tuple' object has no attribute 'metadata'
subaerial exposure feature,'tuple' object has no attribute 'metadata'
subaerial travertine,'tuple' object has no attribute 'metadata'
subaqueous slide,'tuple' object has no attribute 'metadata'
sub-lacustrine travertine system,'tuple' object has no attribute 'metadata'
sub-vertical fracture,'tuple' object has no attribute 'metadata'
sub-vertical orientation,'tuple' object has no attribute 'metadata'
subsidence decrease,'tuple' object has no attribute 'metadata'
superficial ooid,'tuple' object has no attribute 'metadata'
superficial current,'tuple' object has no attribute 'metadata'
superficial wave,'tuple' object has no attribute 'metadata'
sutured interparticle contact,'tuple' object has no attribute 'metadata'
sylvite,'tuple' object has no attribute 'metadata'
symmetric aggregate,'tuple' object has no attribute 'metadata'
syn-sedimentary deformation feature,'tuple' object has no attribute 'metadata'
syngenetic sulfate,'tuple' object has no attribute 'metadata'
systematic petrographic analysis,'tuple' object has no attribute 'metadata'
tachyhydrite,'tuple' object has no attribute 'metadata'
tectonic activity,'tuple' object has no attribute 'metadata'
tectonic context,'tuple' object has no attribute 'metadata'
tectono-sedimentary dynamic,'tuple' object has no attribute 'metadata'
tectono-stratigraphic setting,'tuple' object has no attribute 'metadata'
terminal splay deposit,'tuple' object has no attribute 'metadata'
textural characteristic,'tuple' object has no attribute 'metadata'
texture,'tuple' object has no attribute 'metadata'
thermal subsidence,'tuple' object has no attribute 'metadata'
thick envelope,'tuple' object has no attribute 'metadata'
thick intraclastic deposit,'tuple' object has no attribute 'metadata'
thick package,'tuple' object has no attribute 'metadata'
thin clay envelope,'tuple' object has no attribute 'metadata'
thin magnesium clay wall,'tuple' object has no attribute 'metadata'
thin section,'tuple' object has no attribute 'metadata'
thin section scale,'tuple' object has no attribute 'metadata'
tholeiitic basalt,'tuple' object has no attribute 'metadata'
topography,'tuple' object has no attribute 'metadata'
total dissolution,'tuple' object has no attribute 'metadata'
total dolomitization,'tuple' object has no attribute 'metadata'
total grain replacement,'tuple' object has no attribute 'metadata'
total matrix dolomitization,'tuple' object has no attribute 'metadata'
total matrix silicification,'tuple' object has no attribute 'metadata'
total ostracod bioclast dissolution,'tuple' object has no attribute 'metadata'
total peloid dissolution,'tuple' object has no attribute 'metadata'
total spherulite dissolution,'tuple' object has no attribute 'metadata'
total silicification,'tuple' object has no attribute 'metadata'
tractive process,'tuple' object has no attribute 'metadata'
transitional environment,'tuple' object has no attribute 'metadata'
transitional form,'tuple' object has no attribute 'metadata'
transgressive event,'tuple' object has no attribute 'metadata'
trapped hydrocarbon,'tuple' object has no attribute 'metadata'
travertine,'tuple' object has no attribute 'metadata'
ultra-deep water,'tuple' object has no attribute 'metadata'
unconformity,'tuple' object has no attribute 'metadata'
upper rift phase,'tuple' object has no attribute 'metadata'
upper syn-rift,'tuple' object has no attribute 'metadata'
uranium in bitumen,'tuple' object has no attribute 'metadata'
unusual characteristic,'tuple' object has no attribute 'metadata'
unusual lacustrine carbonate,'tuple' object has no attribute 'metadata'
vadose pendular cement,'tuple' object has no attribute 'metadata'
valanginian,'tuple' object has no attribute 'metadata'
vast lacustrine system,'tuple' object has no attribute 'metadata'
vertical facies variation,'tuple' object has no attribute 'metadata'
volcanic basement,'tuple' object has no attribute 'metadata'
volcanic fragment,'tuple' object has no attribute 'metadata'
volcanic source,'tuple' object has no attribute 'metadata'
vugular pore,'tuple' object has no attribute 'metadata'
vugular porosity,'tuple' object has no attribute 'metadata'
water chemistry change factor,'tuple' object has no attribute 'metadata'
water-sediment interface,'tuple' object has no attribute 'metadata'
wave,'tuple' object has no attribute 'metadata'
wave activity,'tuple' object has no attribute 'metadata'
wave deposit structure,'tuple' object has no attribute 'metadata'
wave-driven reworking process,'tuple' object has no attribute 'metadata'
wave redeposition model,'tuple' object has no attribute 'metadata'
wave ripple,'tuple' object has no attribute 'metadata'
wave reworking,'tuple' object has no attribute 'metadata'
wave structure,'tuple' object has no attribute 'metadata'
well-sorted package,'tuple' object has no attribute 'metadata'
west african margin,'tuple' object has no attribute 'metadata'
widely distributed,'tuple' object has no attribute 'metadata'
wind stress fluctuation,'tuple' object has no attribute 'metadata'
