Term,Error
detached from grain,'tuple' object has no attribute 'metadata'
detrital component,'tuple' object has no attribute 'metadata'
diagenetic constituent,'tuple' object has no attribute 'metadata'
diagenetic evolution,'tuple' object has no attribute 'metadata'
diagenetic feature,'tuple' object has no attribute 'metadata'
disarticulated,'tuple' object has no attribute 'metadata'
discrete interval concentration,'tuple' object has no attribute 'metadata'
discrete rim,'tuple' object has no attribute 'metadata'
disseminated in matrix,'tuple' object has no attribute 'metadata'
dissolved,'tuple' object has no attribute 'metadata'
dissolved intraclast,'tuple' object has no attribute 'metadata'
dissolved ooid,'tuple' object has no attribute 'metadata'
distinct depositional configuration,'tuple' object has no attribute 'metadata'
distinct environmental condition,'tuple' object has no attribute 'metadata'
distinct lacustrine system condition,'tuple' object has no attribute 'metadata'
distribution in low,'tuple' object has no attribute 'metadata'
divergent fibrous aggregate,'tuple' object has no attribute 'metadata'
dolomite,'tuple' object has no attribute 'metadata'
dolomite association,'tuple' object has no attribute 'metadata'
dolomite predominance,'tuple' object has no attribute 'metadata'
dolomite preservation,'tuple' object has no attribute 'metadata'
dolomite replacement,'tuple' object has no attribute 'metadata'
dolomite rhomb,'tuple' object has no attribute 'metadata'
dolomite rhomb dissolution,'tuple' object has no attribute 'metadata'
dolomitic intraclast,'tuple' object has no attribute 'metadata'
dolocrete,'tuple' object has no attribute 'metadata'
dolostone,'tuple' object has no attribute 'metadata'
depositional condition,'tuple' object has no attribute 'metadata'
depositional energy variation,'tuple' object has no attribute 'metadata'
depositional geometry control,'tuple' object has no attribute 'metadata'
depositional model,'tuple' object has no attribute 'metadata'
depositional process,'tuple' object has no attribute 'metadata'
depositional environment,'tuple' object has no attribute 'metadata'
drift,'tuple' object has no attribute 'metadata'
dry climate,'tuple' object has no attribute 'metadata'
drusiform prismatic calcite,'tuple' object has no attribute 'metadata'
drusiform quartz,'tuple' object has no attribute 'metadata'
dynamic environment,'tuple' object has no attribute 'metadata'
dynamic reworking,'tuple' object has no attribute 'metadata'
early aptian,'tuple' object has no attribute 'metadata'
early cementation,'tuple' object has no attribute 'metadata'
early cretaceous,'tuple' object has no attribute 'metadata'
effective reservoir,'tuple' object has no attribute 'metadata'
elongated mound,'tuple' object has no attribute 'metadata'
engulfed by calcite aggregate,'tuple' object has no attribute 'metadata'
engulfed by blocky calcite,'tuple' object has no attribute 'metadata'
engulfed by interparticle cement,'tuple' object has no attribute 'metadata'
engulfed by shrub,'tuple' object has no attribute 'metadata'
engulfed by spherulite,'tuple' object has no attribute 'metadata'
engulfed dolomite rhomb,'tuple' object has no attribute 'metadata'
engulfed intraclast,'tuple' object has no attribute 'metadata'
engulfed ooid,'tuple' object has no attribute 'metadata'
engulfed ooidal particle,'tuple' object has no attribute 'metadata'
eoaptian,'tuple' object has no attribute 'metadata'
eogenetic constituent,'tuple' object has no attribute 'metadata'
epilimnion,'tuple' object has no attribute 'metadata'
episodic lateral connection,'tuple' object has no attribute 'metadata'
episodic reworking,'tuple' object has no attribute 'metadata'
eroded intraclast,'tuple' object has no attribute 'metadata'
erosion,'tuple' object has no attribute 'metadata'
erosion along unconformity,'tuple' object has no attribute 'metadata'
evaporite,'tuple' object has no attribute 'metadata'
evaporitic environment,'tuple' object has no attribute 'metadata'
exploration potential,'tuple' object has no attribute 'metadata'
exploration risk,'tuple' object has no attribute 'metadata'
exploration target,'tuple' object has no attribute 'metadata'
extensive alkaline system,'tuple' object has no attribute 'metadata'
extensive exposed area,'tuple' object has no attribute 'metadata'
extensive lacustrine carbonate sedimentation,'tuple' object has no attribute 'metadata'
extensive intraclastic grainstone package,'tuple' object has no attribute 'metadata'
extensive intraclastic rudstone package,'tuple' object has no attribute 'metadata'
facies distribution,'tuple' object has no attribute 'metadata'
facies distribution control,'tuple' object has no attribute 'metadata'
fascicular aggregate,'tuple' object has no attribute 'metadata'
fascicular calcite,'tuple' object has no attribute 'metadata'
fascicular calcite aggregate,'tuple' object has no attribute 'metadata'
fascicular crust,'tuple' object has no attribute 'metadata'
fascicular shrub,'tuple' object has no attribute 'metadata'
fascicular shrub precipitation,'tuple' object has no attribute 'metadata'
fault activity,'tuple' object has no attribute 'metadata'
fault alignment,'tuple' object has no attribute 'metadata'
