triple,sources,config,manifest,inputs
<http://purl.obolibrary.org/obo/BFO_0000004> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000002> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000004> <http://www.w3.org/2002/07/owl#disjointWith> <http://purl.obolibrary.org/obo/BFO_0000020> .,"[""config:domains/presalt/ontology_config.yaml:bfo_disjoint_pairs""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000004> <http://www.w3.org/2002/07/owl#disjointWith> <http://purl.obolibrary.org/obo/BFO_0000031> .,"[""config:domains/presalt/ontology_config.yaml:bfo_disjoint_pairs""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000008> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000008> <http://www.w3.org/2000/01/rdf-schema#label> ""temporal region""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000008> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000003> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000015> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000015> <http://www.w3.org/2000/01/rdf-schema#label> ""process""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000015> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000003> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000016> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000016> <http://www.w3.org/2000/01/rdf-schema#label> ""disposition""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000016> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000017> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000017> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000017> <http://www.w3.org/2000/01/rdf-schema#label> ""realizable entity""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000017> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000020> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000019> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000019> <http://www.w3.org/2000/01/rdf-schema#label> ""quality""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000019> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000020> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000019> <http://www.w3.org/2002/07/owl#disjointWith> <http://purl.obolibrary.org/obo/BFO_0000017> .,"[""config:domains/presalt/ontology_config.yaml:bfo_disjoint_pairs""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000020> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000020> <http://www.w3.org/2000/01/rdf-schema#label> ""specifically dependent continuant""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000020> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000002> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000020> <http://www.w3.org/2002/07/owl#disjointWith> <http://purl.obolibrary.org/obo/BFO_0000031> .,"[""config:domains/presalt/ontology_config.yaml:bfo_disjoint_pairs""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000023> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000023> <http://www.w3.org/2000/01/rdf-schema#label> ""role""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000023> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000017> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000027> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
"<http://purl.obolibrary.org/obo/BFO_0000027> <http://www.w3.org/2000/01/rdf-schema#label> ""object aggregate""@en .","[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000027> <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://purl.obolibrary.org/obo/BFO_0000040> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
<http://purl.obolibrary.org/obo/BFO_0000029> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .,"[""config:domains/presalt/ontology_config.yaml:upper_backbone""]",domains/presalt/ontology_config.yaml,domains/presalt/corrections/geopresalt_0_2.yaml,"[""evaluation_study/inputs/approved_run/validate_defined_classes.csv"", ""evaluation_study/inputs/approved_run/validate_instances.csv"", ""evaluation_study/inputs/approved_run/validate_relations.csv"", ""evaluation_study/inputs/approved_run/validate_taxonomy.csv""]"
